"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"79021","11-01-26 16:15","Spain","LaLiga","2025/2026","Levante","Espanyol","1","1","D","0","0","D","1","1","D"
"79013","11-01-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Mallorca","2","1","H","2","1","H","0","0","D"
"77861","10-01-26 21:00","Spain","LaLiga","2025/2026","Valencia","Elche","1","1","D","0","0","D","1","1","D"
"77856","10-01-26 18:30","Spain","LaLiga","2025/2026","Girona","Osasuna","1","0","H","1","0","H","0","0","D"
"77852","10-01-26 16:15","Spain","LaLiga","2025/2026","Villarreal","Alaves","3","1","H","0","0","D","3","1","H"
"77837","10-01-26 14:00","Spain","LaLiga","2025/2026","Oviedo","Betis","1","1","D","0","0","D","1","1","D"
"76527","09-01-26 21:00","Spain","LaLiga","2025/2026","Getafe","Real Sociedad","1","2","A","0","1","A","1","1","D"
"75783","04-01-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Atl. Madrid","1","1","D","0","0","D","1","1","D"
"75776","04-01-26 18:30","Spain","LaLiga","2025/2026","Alaves","Oviedo","1","1","D","0","0","D","1","1","D"
"75777","04-01-26 18:30","Spain","LaLiga","2025/2026","Mallorca","Girona","1","2","A","0","1","A","1","1","D"
"75768","04-01-26 16:15","Spain","LaLiga","2025/2026","Real Madrid","Betis","5","1","H","1","0","H","4","1","H"
"75748","04-01-26 14:00","Spain","LaLiga","2025/2026","Sevilla","Levante","0","3","A","0","1","A","0","2","A"
"75735","03-01-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Barcelona","0","2","A","0","0","D","0","2","A"
"75722","03-01-26 18:30","Spain","LaLiga","2025/2026","Elche","Villarreal","1","3","A","1","2","A","0","1","A"
"75715","03-01-26 16:15","Spain","LaLiga","2025/2026","Osasuna","Ath Bilbao","1","1","D","1","0","H","0","1","A"
"75704","03-01-26 14:00","Spain","LaLiga","2025/2026","Celta Vigo","Valencia","4","1","H","1","0","H","3","1","H"
"75696","02-01-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Getafe","1","1","D","1","0","H","0","1","A"
"75498","22-12-25 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Espanyol","1","2","A","1","1","D","0","1","A"
"75482","21-12-25 21:00","Spain","LaLiga","2025/2026","Betis","Getafe","4","0","H","1","0","H","3","0","H"
"75483","21-12-25 18:30","Spain","LaLiga","2025/2026","Elche","Rayo Vallecano","4","0","H","1","0","H","3","0","H"
"75484","21-12-25 16:15","Spain","LaLiga","2025/2026","Villarreal","Barcelona","0","2","A","0","1","A","0","1","A"
"75485","21-12-25 14:00","Spain","LaLiga","2025/2026","Girona","Atl. Madrid","0","3","A","0","2","A","0","1","A"
"75448","20-12-25 21:00","Spain","LaLiga","2025/2026","Real Madrid","Sevilla","2","0","H","1","0","H","1","0","H"
"75449","20-12-25 18:30","Spain","LaLiga","2025/2026","Osasuna","Alaves","3","0","H","0","0","D","3","0","H"
"75450","20-12-25 16:15","Spain","LaLiga","2025/2026","Levante","Real Sociedad","1","1","D","0","1","A","1","0","H"
"75451","20-12-25 14:00","Spain","LaLiga","2025/2026","Oviedo","Celta Vigo","0","0","D","0","0","D","0","0","D"
"75375","19-12-25 21:00","Spain","LaLiga","2025/2026","Valencia","Mallorca","1","1","D","0","1","A","1","0","H"
"75358","15-12-25 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Betis","0","0","D","0","0","D","0","0","D"
